kode_kbli,uraian
01499,Budi Daya dan Pembibitan Hewan Lainnya
01192,Pembenihan Tanaman Pakan Ternak dan Pembenihan Bit
01611,Jasa Pengolahan Lahan
01612,Jasa Pemupukan
01193,Pertanian Tanaman Bunga
01613,Jasa Pemanenan
01194,Pertanian Pembenihan Tanaman Bunga
01614,Jasa Penyemprotan dan Penyerbukan Melalui Udara
01199,Pertanian Tanaman Semusim Lainnya YTDL
01615,Jasa Pengendalian Organisme Pengganggu Tumbuhan
01210,Pertanian Buah Anggur (OPT)
01220,Pertanian Buah-buahan Tropis dan Subtropis
01616,Jasa Penanaman Benih
01230,Pertanian Buah Jeruk
01619,Jasa Penunjang Pertanian Lainnya
01240,Pertanian Buah Apel dan Buah Batu (Pome and Stone
01621,Jasa Perkawinan Ternak
01622,Jasa Penetasan Telur
01251,Pertanian Buah Beri
01629,Jasa Penunjang Peternakan Lainnya
01252,Pertanian Buah Biji Kacang-kacangan
01630,Jasa Pascapanen
01253,Pertanian Sayuran Tahunan
01640,Pemilihan Benih Tanaman untuk Pembiakan
01259,Pertanian Buah Semak Lainnya
01700,"Perburuan, Penangkapan, dan Kegiatan Jasa Terkait"
01261,Pertanian Kelapa
02101,Pengelolaan Hutan
01262,Pertanian Kelapa Sawit
02102,Pemanfaatan Kayu Hutan
01269,Pertanian Buah Oleagin Lainnya
02103,Pembenihan Tanaman Kehutanan
01271,Pertanian Kopi
02201,Pemanenan Kayu
01272,Pertanian Tanaman Teh
02202,Pemungutan Kayu
01273,Pertanian Kakao
02300,Pemungutan Hasil Hutan Bukan Kayu
01279,Pertanian Tanaman untuk Bahan Minuman Lainnya
02401,Jasa Lingkungan Hutan
01281,Pertanian Lada
02402,Jasa Penggunaan Kawasan Kehutanan
01282,Pertanian Cengkih
02409,Jasa Penunjang Kehutanan Lainnya
01283,Pertanian Pala
03110,Penangkapan Ikan dan Biota Air Lainnya di Laut
01284,Pertanian Tanaman Aromatik/Penyegar
03120,Penangkapan Ikan dan Biota Air Lainnya di Perairan Air
01285,Pertanian Tanaman Obat Rimpang Tawar
01286,Pertanian Tanaman Obat Nonrimpang
03211,Pembudidayaan Ikan Bersirip (Selain Ikan Hias) dan Biota
01287,Pertanian Tanaman Narkotika dan Tanaman Obat Air Laut Lainnya yang Tidak Dilindungi
03212,Pembudidayaan Ikan Hias Air Laut yang Tidak Dilindungi
01289,Pertanian Tanaman Rempah-rempah dan
03213,Pembudidayaan Tumbuhan Air Laut yang Tidak Dilindungi
03214,Pengembangbiakan Ikan dan Biota Air Laut yang Dilindungi
01291,Pertanian Pohon Karet dan Tanaman Penghasil Getah
03221,Pembudidayaan Ikan Bersirip (Selain Ikan Hias) dan Biota
01299,Pertanian Tanaman Tahunan Lainnya YTDL
03222,Pembudidayaan Ikan Hias Air Tawar yang Tidak Dilindungi
01301,Pertanian Tanaman Hias
03223,Pembudidayaan Tumbuhan Air Tawar yang Tidak
01302,Penangkaran Tumbuhan Liar Dilindungi
01309,Pembiakan Tanaman Lainnya
03224,Pengembangbiakan Biota Air Tawar yang Dilindungi
01411,Budi Daya dan Pembibitan Sapi Potong
03231,Pembudidayaan Ikan Bersirip (Selain Ikan Hias) dan Biota
01412,Budi Daya dan Pembibitan Sapi Perah Air Payau Lainnya yang Tidak Dilindungi
01413,Budi Daya dan Pembibitan Kerbau Potong
03232,Pembudidayaan Ikan Hias Air Payau yang Tidak Dilindungi
01414,Budi Daya dan Pembibitan Kerbau Perah
03233,Pembudidayaan Tumbuhan Air Payau yang Tidak
10217,Pengolahan dan Pengawetan Ikan dengan Pengalengan
10218,Pengolahan dan Pengawetan Ikan Menjadi Produk Olahan
03234,Pengembangbiakan Biota Air Payau yang Dilindungi
10219,Pengolahan dan Pengawetan Ikan dengan Metode Lainnya
03300,Jasa Penunjang Kegiatan Penangkapan dan
10291,Pengolahan dan Pengawetan Biota Air Lainnya dengan
10292,Pengolahan dan Pengawetan Biota Air Lainnya dengan
10293,Pengolahan dan Pengawetan Biota Air Lainnya dengan
05101,Pertambangan Batu Bara Pembekuan
05102,Benefisiasi atau Peningkatan Kualitas Batu Bara
10294,Pengolahan dan Pengawetan Biota Air Lainnya dengan
