kode_kbli,uraian
27510,Industri Peralatan Listrik Rumah Tangga Perhiasan
27520,Industri Peralatan Elektrotermal Rumah Tangga
32114,Industri Perhiasan dari Mutiara
27530,Industri Peralatan Rumah Tangga Bukan Listrik
32119,Industri Barang Berharga Lainnya dari Logam Mulia
27900,Industri Peralatan Listrik Lainnya
32120,Industri Perhiasan Imitasi dan Barang Sejenis
28111,"Industri Mesin Uap, Turbin, dan Kincir"
32201,Industri Alat Musik Tradisional
28112,Industri Motor Pembakaran Dalam
32202,Industri Alat Musik Nontradisional
28113,Industri Komponen dan Suku Cadang Mesin dan Turbin
32300,Industri Peralatan dan Perlengkapan Olahraga
28120,Industri Peralatan Tenaga Zat Cair dan Gas
32401,Industri Alat Permainan
28130,"Industri Pompa Lainnya, Kompresor, Keran, dan"
32402,Industri Mainan Termasuk Drone Rekreasi
32501,"Industri Furnitur untuk Operasi, Perawatan Kedokteran,"
28140,"Industri Bearing, Roda Gigi, dan Elemen Penggerak Mesin dan Kedokteran Gigi"
28151,"Industri Oven, Perapian dan Tungku Pembakar Sejenis"
32502,"Industri Peralatan Kedokteran dan Kedokteran Gigi, serta"
32503,Industri Kacamata
32509,"Industri Peralatan Kedokteran dan Kedokteran Gigi, serta"
38110,Pengumpulan Limbah atau Sampah Tidak Berbahaya
38121,Pengumpulan Limbah Berbahaya Selain Limbah Radiokatif
32901,Industri Alat Tulis dan Gambar Termasuk Perlengkapannya
38122,Pengumpulan Limbah Radioaktif
32902,Industri Pita Mesin Tulis atau Gambar
38211,Pengolahan Sampah Tidak Berbahaya untuk Menghasilkan
32903,Industri Kerajinan YTDL Energi
32904,Industri Peralatan untuk Pelindung Keselamatan
38212,Produksi Kompos Sampah Organik
32905,Industri Serat Sabut Kelapa
38219,Pengolahan dan Pembuangan Limbah atau Sampah Tidak
32906,"Industri Rambut, Janggut, dan Bulu Mata Palsu Berbahaya Lainnya"
32907,Industri Kancing dan Ritsleting
38221,Pengolahan dan Pembuangan Limbah atau Sampah
32908,Industri Pemantik Api/Lighter Berbahaya Selain Limbah Radioaktif
32909,Industri Produk Lainnya YTDL
38222,Pengolahan dan Pembuangan Limbah Radioaktif
33111,"Reparasi dan Pemeliharaan Produk Logam Struktural,"
38301,Pemulihan Material Barang Logam
38302,Pemulihan Material Barang Plastik
33112,Reparasi dan Pemeliharaan Produk Senjata dan Amunisi
38309,Pemulihan Material Lainnya
33119,Reparasi dan Pemeliharaan Produk Logam Pabrikasi
39001,Aktivitas Penangkapan Karbon
39002,Aktivitas Penyimpanan Karbon
33121,Reparasi dan Pemeliharaan Mesin untuk Keperluan Umum
39009,Aktivitas Remediasi dan Pengelolaan Limbah atau Sampah
33122,Reparasi dan Pemeliharaan Mesin untuk Keperluan Khusus Lainnya
33131,"Reparasi dan Pemeliharaan Alat Ukur, Alat Uji, serta"
33132,"Reparasi dan Pemeliharaan Peralatan Iradiasi,"
41011,Konstruksi Konvensional Gedung Hunian
33133,Reparasi dan Pemeliharaan Peralatan Fotografi dan Optik
41012,Konstruksi Konvensional Gedung Perkantoran
33141,"Reparasi dan Pemeliharaan Motor Listrik, Generator, dan"
41013,Konstruksi Konvensional Gedung Industri
41014,Konstruksi Konvensional Gedung Perbelanjaan
33142,Reparasi dan Pemeliharaan Baterai dan Akumulator Listrik
41015,Konstruksi Konvensional Gedung Kesehatan
33149,Reparasi dan Pemeliharaan Peralatan Listrik Lainnya
41016,Konstruksi Konvensional Gedung Pendidikan
33151,"Reparasi dan Pemeliharaan Kapal, Perahu, dan Bangunan"
41017,Konstruksi Konvensional Gedung Penginapan
41018,Konstruksi Konvensional Gedung Hiburan dan Olahraga
33152,Reparasi dan Pemeliharaan Lokomotif dan Gerbong Kereta
41019,Konstruksi Konvensional Gedung Lainnya
33153,Reparasi dan Pemeliharaan Pesawat Udara
41020,Konstruksi Prapabrikasi Bangunan Gedung
33159,"Reparasi dan Pemeliharaan Alat Angkutan Lainnya, Bukan"
42101,Konstruksi Jalan pada Permukaan Tanah
42102,"Konstruksi Bangunan Sipil Jembatan, Jalan Layang, Fly"
33190,"Reparasi dan Pemeliharaan Peralatan Lainnya Over, dan Underpass"
33201,"Instalasi/Pemasangan dan Perangkaian/Integrasi Mesin,"
42103,Konstruksi Jalan Rel
42104,Konstruksi Terowongan
33202,"Pembongkaran Mesin, Peralatan, dan Sistem Industri"
42201,Konstruksi Jaringan Irigasi dan Drainase
33203,"Pemasangan Perlengkapan Meteorologi, Klimatologi, dan"
42202,Konstruksi Bangunan Sipil Pengolahan Air Bersih
42203,Konstruksi Bangunan Sipil Sistem Pengolahan Limbah
42204,Konstruksi Bangunan Sipil Elektrikal
42205,Konstruksi Bangunan Sipil Telekomunikasi untuk Prasarana
42206,Konstruksi Sentral Telekomunikasi
35111,Pembangkitan Tenaga Listrik dari Sumber Energi Tidak
42207,Konstruksi Pengeboran/Penggalian Air Tanah
42209,Konstruksi Proyek Utilitas Lainnya
35112,Pembangkitan Tenaga Listrik dari Sumber Energi Tidak
42911,Konstruksi Bangunan Prasarana Sumber Daya Air
42912,Konstruksi Bangunan Pelabuhan Bukan Perikanan
35120,Pembangkitan Tenaga Listrik dari Sumber Energi
42913,Konstruksi Bangunan Pelabuhan Perikanan
42914,Konstruksi Reservoir Pembangkit Listrik Tenaga Air
35131,Aktivitas Penyaluran Tenaga Listrik
42915,Konstruksi Bangunan Sipil Pelindung Pantai
35132,Aktivitas Penyimpanan Tenaga Listrik
42919,Konstruksi Bangunan Sipil Prasarana Perairan dan Sejenis
35133,Pengoperasian Fasilitas atau Stasiun Pengisian Daya untuk Lainnya
42991,Konstruksi Bangunan Sipil Minyak dan Gas Bumi
35140,Penyediaan Tenaga Listrik dalam Satu Kesatuan Usaha
42992,Konstruksi Bangunan Sipil Pertambangan
35151,Pengoperasian Instalasi Penyediaan Tenaga Listrik
42993,Konstruksi Bangunan Sipil Panas Bumi
35152,Pengoperasian Instalasi Pemanfaatan Tenaga Listrik
42994,Konstruksi Bangunan Sipil Fasilitas Olahraga
35159,Aktivitas penunjang tenaga listrik lainnya
42995,Konstruksi Bangunan Sipil Fasilitas Pengolahan
35201,Produksi Gas Alam dan Buatan
42996,Konstruksi Bangunan Sipil Fasilitas Militer dan Bandar
35202,Distribusi Gas Alam dan Buatan Melalui Jaringan
35301,Pengadaan Uap/Air Panas dan Udara Dingin
42997,Konstruksi Bangunan Sipil Fasilitas Sumber Radiasi Pengion
35302,Produksi Es
42998,Konstruksi Bangunan Sipil Reaktor Nuklir
35401,Aktivitas Broker dan Agen Penjualan Tenaga Listrik
42999,Konstruksi Bangunan Sipil Lainnya YTDL
35402,Aktivitas Broker dan Agen Penjualan Gas Alam
43110,Pembongkaran
43120,Penyiapan Lahan
43211,Pemasangan Jaringan Listrik
43212,Pemasangan Jaringan Telekomunikasi
43213,Pemasangan Sistem Elektronika
36001,Pengolahan dan Penyediaan Air Minum
43214,"Pemasangan Sistem Navigasi Laut, Sungai, dan Udara"
36002,Penampungan dan Penyediaan Air Baku
43215,Pemasangan Sistem Persinyalan dan Telekomunikasi
36003,Aktivitas Penunjang Penyediaan Air
37001,Pengumpulan Air Limbah
43216,Pemasangan Perlengkapan Jalan Berbasis Listrik
37002,Pengolahan dan Pembuangan Air Limbah
43221,Pemasangan Saluran Air (Plumbing)
46492,Perdagangan Besar Peralatan dan Perlengkapan Olahraga
43222,Pemasangan Sistem Pemanas dan Geotermal
46493,Perdagangan Besar Alat Musik
43223,Pemasangan Jaringan Penyaluran Gas
46494,Perdagangan Besar Perhiasan dan Jam
43224,Pemasangan Pendingin dan Ventilasi Udara
46495,Perdagangan Besar Alat Permainan dan Mainan
43291,Pemasangan Perlengkapan Mekanikal Bangunan
46496,"Perdagangan Besar Tas, Dompet, Koper, Ransel, dan"
43299,Pemasangan Konstruksi Lainnya YTDL Sejenisnya
43301,"Pemasangan Kaca, Pintu, Kusen, Jendela, dan Sejenisnya"
46499,Perdagangan Besar Berbagai Barang dan Perlengkapan
43302,"Pengerjaan Lantai, Dinding, dan Plafon Rumah Tangga Lainnya YTDL"
43303,Pengecatan
46511,Perdagangan Besar Komputer dan Perlengkapan Komputer
43309,Penyelesaian Konstruksi Bangunan Lainnya
46512,Perdagangan Besar Perangkat Lunak
43400,Jasa Intermediasi Konstruksi Khusus
46521,Perdagangan Besar Suku Cadang Elektronik
43901,Pemasangan dan Rekayasa Struktur Bangunan
46522,"Perdagangan Besar Disket, Flash Drive, Pita Audio dan"
43902,"Pemasangan Perancah (Steger) Video, serta CD dan DVD Kosong"
43903,Pemasangan Rangka dan Atap/Roof Covering
46523,Perdagangan Besar Peralatan Telekomunikasi
43904,Pemasangan Kerangka Baja
46530,"Perdagangan Besar Mesin, Peralatan Dan Perlengkapan"
43905,Penyewaan Alat Konstruksi dengan Operator Pertanian
43909,Konstruksi Khusus Lainnya YTDL
46591,"Perdagangan Besar Mesin Kantor dan Industri Pengolahan,"
46592,"Perdagangan Besar Alat Transportasi Laut, Suku Cadang,"
46100,Perdagangan Besar atas dasar Balas Jasa (Fee) atau
46593,"Perdagangan Besar Alat Transportasi Darat (Bukan Mobil,"
46201,Perdagangan Besar Padi dan Palawija Perlengkapannya
46594,"Perdagangan Besar Alat Transportasi Udara, Suku Cadang"
46202,Perdagangan Besar Buah yang Mengandung Minyak
46203,Perdagangan Besar Bunga dan Tanaman Hias
46599,"Perdagangan Besar Mesin, Peralatan, dan Perlengkapan"
46204,Perdagangan Besar Tembakau Rajangan
46205,Perdagangan Besar Binatang Hidup
46611,Perdagangan Besar Mobil Baru
46206,Perdagangan Besar Ikan dan Biota Air Hidup Lainnya
46612,Perdagangan Besar Mobil Bekas
46207,Perdagangan Besar Hasil Kehutanan dan Perburuan
46620,Perdagangan Besar Suku Cadang dan Aksesori Mobil
46208,Perdagangan Besar Kulit
46631,Perdagangan Besar Sepeda Motor Baru
46209,Perdagangan Besar Hasil Pertanian dan Hewan Hidup
46632,Perdagangan Besar Sepeda Motor Bekas
46633,Perdagangan Besar Suku Cadang Sepeda Motor dan
46311,Perdagangan Besar Beras
46312,Perdagangan Besar Buah-buahan
46710,"Perdagangan Besar Bahan Bakar Padat, Cair, dan Gas"
46313,Perdagangan Besar Sayuran
46314,"Perdagangan Besar Kopi, Teh, dan Kakao"
46721,Perdagangan Besar Bijih dan Konsentrat Logam
46315,Perdagangan Besar Minyak dan Lemak Nabati
46722,Perdagangan Besar Produk Logam Setengah Jadi
46319,Perdagangan Besar Bahan Makanan dan Minuman Hasil
46731,Perdagangan Besar Bahan Konstruksi dari Logam
46732,Perdagangan Besar Kaca Lembaran
46321,Perdagangan Besar Daging Sapi dan Daging Sapi Olahan
46733,"Perdagangan Besar Bahan Konstruksi dari Tanah Liat,"
46322,Perdagangan Besar Daging Ayam dan Daging Ayam
46734,"Perdagangan Besar Semen, Kapur, Pasir, dan Batu"
46323,Perdagangan Besar Daging dan Daging Olahan Lainnya
46735,Perdagangan Besar Bahan Konstruksi dari Porselen
46324,Perdagangan Besar Hasil Perikanan dan Olahan Terkait
46736,Perdagangan Besar Bahan Konstruksi dari Kayu
46325,Perdagangan Besar Telur dan Hasil Olahan Telur
46737,Perdagangan Besar Cat
46326,Perdagangan Besar Susu dan Produk Susu
46738,Perdagangan Besar Berbagai Macam Material Bangunan
46327,Perdagangan Besar Minyak dan Lemak Hewani
46739,"Perdagangan Besar Bahan Konstruksi, Perkakas,"
46329,Perdagangan Besar Bahan Makanan dan Minuman Hasil
46741,Perdagangan Besar Mineral Bukan Logam
46331,"Perdagangan Besar Gula, Cokelat, dan Kembang Gula"
46742,Perdagangan Besar Mineral Radioaktif
46332,Perdagangan Besar Produk Bakeri
46743,Perdagangan Besar Zat Radioaktif dan Pembangkit Radiasi
46333,Perdagangan Besar Minuman Beralkohol
46334,Perdagangan Besar Minuman Nonalkohol Bukan Susu
46751,Perdagangan Besar Bahan dan Barang Kimia
46335,Perdagangan Besar Rokok dan Tembakau
46752,Perdagangan Besar Pupuk dan Produk Agrokimia
46339,Perdagangan Besar Makanan dan Minuman Lainnya
46753,Perdagangan Besar Bahan Berbahaya (B2)
46411,Perdagangan Besar Tekstil
46791,Perdagangan Besar Alat Kesehatan dan Laboratorium
46412,Perdagangan Besar Pakaian
46413,Perdagangan Besar Alas Kaki
46792,Perdagangan Besar Alat Kesehatan untuk Hewan
46414,Perdagangan Besar Barang Jadi Tekstil
46793,Perdagangan Besar Karet dan Plastik dalam Bentuk Dasar
46415,Perdagangan Besar Perlengkapan Jahit
46794,Perdagangan Besar Kertas dan Karton
46420,"Perdagangan Besar Furnitur, Karpet, Perlengkapan"
46795,Perdagangan Besar Barang dari Kertas dan Karton
46796,Perdagangan Besar Barang Bekas dan Skrap
46799,Perdagangan Besar Produk Lainnya YTDL
46430,Perdagangan Besar Alat Fotografi dan Barang Optik
46901,Perdagangan Besar Berbagai Macam Barang di
46441,Perdagangan Besar Sediaan Farmasi untuk Manusia
46442,Perdagangan Besar Sediaan Farmasi untuk Hewan
46902,Perdagangan Besar Berbagai Macam Barang Selain di
46451,Perdagangan Besar Alat Tulis dan Gambar
46452,Perdagangan Besar Barang Percetakan dan Penerbitan
47111,Perdagangan Eceran Berbagai Macam Barang yang
46491,"Perdagangan Besar Peralatan Masak, Peralatan Dapur, dan"
47112,Perdagangan Eceran Berbagai Macam Barang yang
47713,Perdagangan Eceran Perlengkapan Pakaian
47714,"Perdagangan Eceran Tas, Dompet, Koper, Ransel, dan"
47191,Perdagangan Eceran Berbagai Macam Barang yang
47721,Perdagangan Eceran Sediaan Farmasi untuk Manusia di
47722,Perdagangan Eceran Sediaan Farmasi untuk Manusia
47192,Perdagangan Eceran Berbagai Macam Barang yang Selain di Apotek
47723,Perdagangan Eceran Obat Bahan Alam untuk Manusia
47724,Perdagangan Eceran Kosmetik untuk Manusia
47211,Perdagangan Eceran Padi dan Palawija
47725,Perdagangan Eceran Alat Kesehatan untuk Manusia
47726,Perdagangan Eceran Obat Farmasi untuk Hewan
47212,Perdagangan Eceran Buah-buahan
47213,Perdagangan Eceran Sayuran
47727,Perdagangan Eceran Obat Tradisional untuk Hewan
47214,Perdagangan Eceran Hasil Peternakan
47728,Perdagangan Eceran Kosmetik untuk Hewan
47729,Perdagangan Eceran Bahan Baku Farmasi dan Alat
47215,Perdagangan Eceran Hasil Perikanan
47216,Perdagangan Eceran Hasil Kehutanan dan Perburuan
47731,Perdagangan Eceran Alat Fotografi dan Perlengkapannya
47219,Perdagangan Eceran Hasil Pertanian Lainnya
47732,Perdagangan Eceran Alat Optik dan Perlengkapannya
47221,Perdagangan Eceran Minuman Beralkohol
47733,Perdagangan Eceran Kacamata
47222,Perdagangan Eceran Minuman Tidak Beralkohol
47734,Perdagangan Eceran Jam
47230,Perdagangan Eceran Rokok dan Tembakau
47735,Perdagangan Eceran Barang Perhiasan
47241,Perdagangan Eceran Beras
47741,Perdagangan Eceran Perlengkapan Rumah Tangga Bekas
47242,"Perdagangan Eceran Roti, Kue Kering, serta Kue Basah dan"
47742,"Perdagangan Eceran Pakaian, Alas Kaki, dan Perlengkapan"
47243,"Perdagangan Eceran Kopi, Gula Pasir, Gula Merah, dan"
47743,Perdagangan Eceran Barang Perlengkapan Pribadi Bekas
47244,"Perdagangan Eceran Tahu, Tempe, Tauco, dan Oncom"
47744,Perdagangan Eceran Barang Listrik dan Elektronik Bekas
47245,Perdagangan Eceran Daging Olahan
47745,Perdagangan Eceran Bahan Konstruksi dan Saniter Bekas
47746,Perdagangan Eceran Barang Antik
47246,Perdagangan Eceran Ikan Olahan
47249,Perdagangan Eceran Makanan Lainnya
47749,Perdagangan Eceran Barang Bekas Lainnya
47301,Perdagangan Eceran Bahan Bakar di Sarana Pengisian
47751,Perdagangan Eceran Hewan Kesayangan (Pet Animals)
47752,Perdagangan Eceran Hewan Ternak dan Bibit Hewan
47302,Perdagangan Eceran Bahan Bakar Selain di Sarana
47753,Perdagangan Eceran Ikan dan Biota Air Hidup Lainnya
47754,Perdagangan Eceran Pakan Ternak/Unggas/Ikan dan
47303,Perdagangan Eceran Minyak Pelumas Hewan Kesayangan
47401,Perdagangan Eceran Komputer dan Perlengkapannya
47761,Perdagangan Eceran Bunga Potong/Florist
47402,Perdagangan Eceran Peralatan dan Produk Gim Video serta
47762,Perdagangan Eceran Tanaman dan Bibit Tanaman Selain
47403,Perdagangan Eceran Perangkat Lunak (Software)
47763,Perdagangan Eceran Pupuk dan Pemberantas Hama
47404,Perdagangan Eceran Telepon beserta Aksesorisnya
47764,Perdagangan Eceran Perlengkapan dan Media Tanaman
47405,Perdagangan Eceran Mesin dan Peralatan Kantor Hias
47765,Perdagangan Eceran Tanaman dan Bibit Tanaman
47406,Perdagangan Eceran Peralatan Audio dan Video
47511,Perdagangan Eceran Tekstil
47771,Perdagangan Eceran Minyak Tanah
47512,Perdagangan Eceran Perlengkapan Rumah Tangga dari
47772,Perdagangan Eceran Gas Tabung LPG
47773,Perdagangan Eceran Bahan Kimia
47513,Perdagangan Eceran Perlengkapan Jahit Menjahit
47521,Perdagangan Eceran Bahan dan Material Konstruksi
47774,Perdagangan Eceran Aromatik/Penyegar (Minyak Asiri)
47522,Perdagangan Eceran Kaca Lembaran
47779,"Perdagangan Eceran Bahan Kimia, Aromatik/Penyegar"
47523,Perdagangan Eceran Perkakas dan Peralatan Pertukangan
47524,Perdagangan Eceran Peralatan Keselamatan dan Gawat
47781,"Perdagangan Eceran Cendera mata, Kerajinan, dan"
47525,"Perdagangan Eceran Cat, Pernis dan Lakeri"
47782,Perdagangan Eceran Lukisan
47526,Perdagangan Eceran Bahan-bahan Energi Terbarukan
47791,Perdagangan Eceran Berbagai Macam Mesin dan
47530,"Perdagangan Eceran Karpet, Permadani, serta Penutup"
47792,Perdagangan Eceran Alat Transportasi Darat Tidak
47591,Perdagangan Eceran Furnitur
47592,"Perdagangan Eceran Peralatan Listrik Rumah Tangga,"
47793,Perdagangan Eceran Alat Transportasi Air dan
47593,Perdagangan Eceran Barang Pecah Belah; Perlengkapan
47794,Perdagangan Eceran Alat-alat Pertanian
47795,Perdagangan Eceran Perlengkapan Pengendara Kendaraan
47594,Perdagangan Eceran Alat Musik
47599,Perdagangan Eceran Peralatan dan Perlengkapan Rumah
47796,Perdagangan Eceran Pembungkus dari Plastik
47799,Perdagangan Eceran Barang Baru Lainnya YTDL
47611,Perdagangan Eceran Alat Tulis Menulis dan Gambar
47811,Perdagangan Eceran Mobil Baru
47612,Perdagangan Eceran Hasil Pencetakan dan Penerbitan
47812,Perdagangan Eceran Mobil Bekas
47613,"Perdagangan Eceran Kertas, Kertas Karton, dan Barang"
47820,Perdagangan Eceran Suku Cadang dan Aksesori Mobil
47831,Perdagangan Eceran Sepeda Motor Baru
47620,Perdagangan Eceran Peralatan dan Perlengkapan Olahraga
47832,Perdagangan Eceran Sepeda Motor Bekas
47630,Perdagangan Eceran Alat Permainan dan Mainan
47833,Perdagangan Eceran Suku Cadang Sepeda Motor dan
47690,Perdagangan Eceran Khusus Barang Kesenian dan Rekreasi
47901,Platform Digital Intermediasi Perdagangan Eceran
47711,Perdagangan Eceran Pakaian
47909,Jasa Intermediasi Perdagangan Eceran Lainnya
47712,"Perdagangan Eceran Sepatu, Sandal, dan Alas Kaki Lainnya"
51101,Angkutan Udara Niaga Berjadwal untuk Penumpang
51102,Angkutan Udara Niaga Tidak Berjadwal untuk Penumpang
49111,Angkutan Kereta Wisata Antarkota
51103,Transportasi Antariksa untuk Penumpang
49119,Transportasi Kereta Api Antarkota Lainnya untuk
51201,Angkutan Udara Niaga Berjadwal Khusus Kargo
51202,Angkutan Udara Niaga Tidak Berjadwal Khusus Kargo
49120,Transportasi Kereta Api untuk Barang
51203,Transportasi Antariksa untuk Barang
49211,Angkutan Kereta Wisata dalam Kota
52101,Pengelola Gudang Sistem Resi Gudang
49212,Angkutan Kereta Api Perkotaan
52102,Aktivitas Gudang Dingin
49213,Angkutan Perkotaan
52103,Aktivitas Gudang Berikat
49214,Angkutan Perdesaan
52104,Penyimpanan Minyak dan Gas Bumi
49219,Transportasi Darat Dalam Kota Lainnya untuk Penumpang
52105,Aktivitas Penyimpanan Barang Berbahaya dan Beracun
49221,Angkutan Antarkota Antarprovinsi (AKAP) (B3)
49222,Angkutan Antarkota Dalam Provinsi (AKDP)
52106,Fasilitas Penyimpanan Sumber Radiasi Pengion
49223,Angkutan Lintas Batas Negara
52107,Penyimpanan Mineral Ikutan Radioaktif
49229,Transportasi Antarkota Lainnya untuk Penumpang
52109,Pergudangan dan Penyimpanan Lainnya
49231,Angkutan Bermotor untuk Barang Umum
52211,Aktivitas Terminal Darat
49232,Angkutan Bermotor untuk Barang Khusus
52212,Aktivitas Penyelenggaraan Prasarana Perkeretaapian
49233,Angkutan Tidak Bermotor untuk Barang
52213,Aktivitas Jalan Tol
49291,Angkutan Kereta Api Lainnya
52214,Aktivitas Perparkiran di Badan Jalan (On Street Parking)
49292,Angkutan Pariwisata
52215,Aktivitas Perparkiran di Luar Badan Jalan (Off Street
49293,Angkutan Taksi Parking)
49294,Angkutan Khusus
52219,Aktivitas Jasa Terkait Transportasi Darat Lainnya
49295,Angkutan Sewa
52221,Aktivitas Pelayanan Kepelabuhanan Laut
49296,Angkutan Ojek Motor
52222,Aktivitas Pelayanan Kepelabuhanan Sungai dan Danau
49297,Angkutan Tidak Bermotor untuk Penumpang
52223,Aktivitas Pelayanan Kepelabuhanan Penyeberangan
49299,Transportasi Darat Lainnya untuk Penumpang YTDL
52224,Aktivitas Pelabuhan Perikanan
49300,Transportasi Melalui Saluran Pipa
52225,Aktivitas Pengelolaan Kapal
50111,Angkutan Laut Dalam Negeri Liner dan Tramper untuk
52226,Aktivitas Aktivitas Penyelamatan Kapal dan Muatannya
52227,Angkutan Perairan Pelabuhan
50112,Angkutan Laut Dalam Negeri Perintis untuk Penumpang
52229,Aktivitas Jasa Terkait Transportasi Perairan Lainnya
50113,Angkutan Laut Dalam Negeri untuk Wisata
52231,Aktivitas Kebandarudaraan
50114,Angkutan Laut Luar Negeri Liner dan Tramper untuk
52232,Jasa Pelayanan Navigasi Penerbangan
52233,"Pelayanan Penumpang, Bagasi, Kargo, Pos, dan Teknis"
50115,Angkutan Laut Luar Negeri untuk Wisata Penanganan Udara di Darat
50121,Angkutan Laut Dalam Negeri untuk Barang Umum
52234,Aktivitas Pemeriksaan dan Pengendalian Keamanan
50122,Angkutan Laut Dalam Negeri untuk Barang Khusus Muatan Penerbangan
50123,Angkutan Laut Dalam Negeri Perintis untuk Barang
52239,Aktivitas Jasa Terkait Angkutan Udara Lainnya
50124,Angkutan Laut Dalam Negeri Pelayaran Rakyat untuk
52240,Penanganan Kargo (Bongkar Muat Barang)
52291,Angkutan Multimoda
50125,Angkutan Laut Luar Negeri untuk Barang Umum
52292,Aktivitas Tally Mandiri
50126,Angkutan Laut Luar Negeri untuk Barang Khusus
52299,Aktivitas Penunjang Angkutan Lainnya YTDL
50127,Angkutan Laut Luar Negeri Pelayaran Rakyat untuk Barang
52311,Jasa Pengurusan Transportasi (JPT)
50131,Angkutan Penyeberangan Umum Antarprovinsi untuk
52312,Jasa Keagenan Kapal/Agen Perkapalan
52313,Aktivitas Perwakilan Operasional Transportasi Udara
50132,Angkutan Penyeberangan Umum Antarkabupaten/kota Khusus Kargo
52319,Jasa Intermediasi Transportasi Lainnya untuk Barang
50133,Angkutan Penyeberangan Umum Dalam Kabupaten/kota
52321,Agen Penjualan Tiket Transportasi
52322,Agen Pengurus Persetujuan Terbang
50134,Angkutan Penyeberangan Perintis Antarprovinsi untuk
52323,Aktivitas Perwakilan Operasional Transportasi Udara untuk
50135,Angkutan Penyeberangan Perintis Antarkabupaten/kota
52329,Jasa Intermediasi Transportasi Lainnya untuk Penumpang
53100,Aktivitas Pos
50139,Transportasi Pesisir Lainnya untuk Penumpang
53200,Aktivitas Kurir
50141,Angkutan Penyeberangan Umum Antarprovinsi untuk
53301,Aktivitas Jasa Portal Intermediasi Pos dan Kurir
53309,Jasa Intermediasi Pos dan Kurir Lainnya
50142,Angkutan Penyeberangan Umum Antarkabupaten/kota
50143,Angkutan Penyeberangan Umum Dalam Kabupaten/kota
55101,Aktivitas Hotel Bintang Lima
50144,Angkutan Penyeberangan Perintis Antarprovinsi untuk
55102,Aktivitas Hotel Bintang Empat
55103,Aktivitas Hotel Bintang Tiga
50145,Angkutan Penyeberangan Perintis Antarkabupaten/kota
55104,Aktivitas Hotel Bintang Dua
55105,Aktivitas Hotel Bintang Satu
50149,Transportasi Pesisir Lainnya untuk Barang
55106,Aktivitas Hotel Nonbintang
50211,Angkutan Sungai dan Danau Liner (Trayek Tetap dan
55201,Aktivitas Rumah Tinggal Sewa (Homestay)
55202,Aktivitas Hostel Remaja (Youth Hostel)
50212,Angkutan Sungai dan Danau Tramper (Trayek Tidak Tetap
55203,Aktivitas Vila
55204,Aktivitas Apartemen Hotel
50213,Angkutan Sungai dan Danau untuk Wisata
55209,Aktivitas Penyediaan Akomodasi Jangka Pendek Lainnya
50221,Angkutan Sungai dan Danau untuk Barang Umum
55300,"Aktivitas Penyediaan Bumi Perkemahan, Persinggahan"
50222,Angkutan Sungai dan Danau untuk Barang Khusus
50223,Angkutan Sungai dan Danau untuk Barang Berbahaya
55400,Aktivitas Jasa Intermediasi Akomodasi
61903,Aktivitas Jasa Internet Teleponi untuk Keperluan Publik
55901,Aktivitas Jasa Manajemen Akomodasi (ITKP)
55909,Penyediaan Akomodasi Lainnya YTDL
61904,Aktivitas Jasa Panggilan Terkelola (Calling Card)
56101,Aktivitas Penyediaan Makanan di Bangunan Tetap
61905,Aktivitas Jasa Telekomunikasi Khusus Berbasis Satelit
56102,Aktivitas Penyediaan Makanan di Bangunan Tidak Tetap
61909,Aktivitas Telekomunikasi Lainnya YTDL
56210,Aktivitas Jasa Boga untuk Acara Tertentu (Event Catering)
62110,"Pengembangan Video Gim, Perangkat Lunak Video Gim,"
56290,Aktivitas Penyediaan Jasa Boga Lainnya dan Perangkat Lunak Pendukungnya
56301,Aktivitas Bar
62191,Aktivitas Pengembangan Aplikasi Perdagangan melalui
56302,Aktivitas Kelab Malam atau Diskotek yang Utamanya Internet (E-Commerce)
62192,Aktivitas Pengembangan Aplikasi dan Produksi Konten
56303,Aktivitas Rumah Minum/Kafe Berbasis Media Imersif
56304,Aktivitas Kedai Minuman
62193,Aktivitas Pengembangan Aplikasi Berbasis Teknologi
56305,Aktivitas Rumah/Kedai Obat Bahan Alam Blockchain
56306,Aktivitas Penyediaan Minuman Keliling/Tempat Tidak Tetap
62194,Aktivitas Pengembangan Komponen Dasar Kecerdasan
56400,Aktivitas Jasa Intermediasi Penyediaan Makanan dan Buatan
62199,Aktivitas Pemrograman Komputer Lainnya YTDL
62201,Aktivitas Konsultansi dan Manajemen Keamanan Siber
62202,Aktivitas Penyediaan dan Pengelolaan Identitas Digital
62203,Aktivitas Penyediaan Sertifikat Elektronik dan Jasa Terkait
62204,Aktivitas Konsultansi dan Perancangan Internet of Things
58110,Penerbitan Buku (IoT)
58120,Penerbitan Surat Kabar
62209,Aktivitas Konsultansi Komputer dan Manajemen Fasilitas
58130,Penerbitan Jurnal dan Terbitan Berkala Komputer Lainnya
58190,Aktivitas Penerbitan Lainnya
62900,Aktivitas Jasa Teknologi Informasi dan Komputer Lainnya
58211,Penerbitan Perangkat Lunak Video Gim dalam Jaringan
63101,Aktivitas Pengolahan Data
63102,"Aktivitas Penyediaan Infrastruktur Komputasi, Hosting, dan"
58219,Penerbitan Perangkat Lunak Video Gim Lainnya Aktivitas Terkait
58290,Penerbitan Perangkat Lunak (Software) Lainnya
63900,Aktivitas Jasa Portal Pencarian Web dan Informasi Lainnya
