kode_kbji,uraian
2636,Profesional Pemimpin Keagamaan 3258 Pekerja Ambulan
2641,Pengarang Dan Penulis YBDI 3259 Asisten Profesional Kesehatan YTDL
2642,Wartawan 3311 Dealer Dan Broker Sekuritas Dan Keuangan
2643,"Penerjemah, Alih Bahasa Dan Profesional Bahasa Lainnya 3312 Petugas Kredit Dan Pinjaman"
2651,Seniman Visual 3313 Asisten Profesional Akuntansi
2652,"Musisi, Penyanyi Dan Komposer 3314 Asisten Profesional Statistika, Matematika Dan YBDI"
2653,Penari Dan Koreografer 3315 Juru Taksir Nilai Dan Kerugian
2654,"Produser Dan Sutradara Film, Pementasan Dan YBDI 3321 Perwakilan Asuransi"
2655,Aktor 3322 Perwakilan Penjualan Komersial
2656,"Penyiar Radio, Televisi Dan Media Lainnya 3323 Juru Pembelian"
2659,Seniman Kreatif Dan Petunjukan YTDL 3324 Broker/Perantara Perdagangan
3331,Agen Kliring Dan Pengiriman
3333,Agen Dan Kontraktor Tenaga Kerja
3334,Agen Real Estate Dan Manajer Properti
3339,Agen Jasa Bisnis YTDL
3111,Teknisi Ilmu Kimia Dan Fisika
3341,Supervisor Kantor
3112,Teknisi Teknik Bangunan
3342,Sekretaris Hukum
3113,Teknisi Teknik Listrik
3343,Sekretaris Administrasi Dan Eksekutif
3114,Teknisi Teknik Elektronik
3344,Sekretaris Medis
3115,Teknisi Teknik Mekanis
3351,Pengawas Bea Cukai Dan Perbatasan
3116,Teknisi Teknik Kimia
3352,Petugas Pajak Dan Retribusi Pemerintah
3117,Teknisi Pertambangan Dan Metalurgi
3353,Pegawai Pemerintah Bidang Jaminan Sosial
3118,Juru Gambar Teknik
3354,Pegawai Pemerintah Bidang Perijinan
3119,Teknisi Ilmu Fisika Dan Teknik YTDL
3359,Profesional Pemerintahan YTDL
3121,Supervisor Pertambangan
3411,Asisten Profesional Hukum Dan YBDI
3122,Supervisor Manufaktur
3412,Asisten Profesional Pekerjaan Sosial
3123,Supervisor Konstruksi
3413,Asisten Profesional Keagamaan
